cbsa,msa,position
35620,New York–Newark–Jersey City,1
31080,Los Angeles–Long Beach–Anaheim,2
16980,Chicago–Naperville–Elgin,3
19100,Dallas–Fort Worth–Arlington,4
26420,Houston–Pasadena–The Woodlands,5
12060,Atlanta–Sandy Springs–Roswell,6
47900,Washington–Arlington–Alexandria,7
41860,San Francisco–Oakland–Fremont,8
42660,Seattle–Tacoma–Bellevue,9
33100,Miami–Fort Lauderdale–West Palm Beach,10
12420,Austin–Round Rock–San Marcos,11
40900,Sacramento–Roseville–Folsom,12
41740,San Diego–Chula Vista–Carlsbad,13
29820,Las Vegas–Henderson–North Las Vegas,14
41940,San Jose–Sunnyvale–Santa Clara,15
