cbsa,msa,position
19780,"Des Moines-West Des Moines, IA",1
14260,"Boise City, ID",2
31540,"Madison, WI",3
16740,"Charlotte-Concord-Gastonia, NC-SC",4
39580,"Raleigh-Cary, NC",5
20500,"Durham-Chapel Hill, NC",6
38900,"Portland-Vancouver-Hillsboro, OR-WA",7
22220,"Fayetteville-Springdale-Rogers, AR",8
10580,"Albany-Schenectady-Troy, NY",9
37900,"Peoria, IL",10
36500,"Olympia-Lacey-Tumwater, WA",11
43620,"Sioux Falls, SD-MN",12
39340,"Provo-Orem-Lehi, UT",13
45220,"Tallahassee, FL",14
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15
24340,"Grand Rapids-Wyoming-Kentwood, MI",16
24860,"Greenville-Anderson-Greer, SC",17
22660,"Fort Collins-Loveland, CO",18
25540,"Hartford-West Hartford-East Hartford, CT",19
19820,"Detroit-Warren-Dearborn, MI",20
10740,"Albuquerque, NM",21
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",22
17410,"Cleveland, OH",23
33340,"Milwaukee-Waukesha, WI",24
19340,"Davenport-Moline-Rock Island, IA-IL",25
14500,"Boulder, CO",26
28940,"Knoxville, TN",27
36540,"Omaha, NE-IA",28
40340,"Rochester, MN",29
14010,"Bloomington, IL",30
30700,"Lincoln, NE",31
45820,"Topeka, KS",32
19740,"Denver-Aurora-Centennial, CO",33
40060,"Richmond, VA",34
45940,"Trenton-Princeton, NJ",35
18140,"Columbus, OH",36
16860,"Chattanooga, TN-GA",37
28140,"Kansas City, MO-KS",38
26620,"Huntsville, AL",39
29620,"Lansing-East Lansing, MI",40
41620,"Salt Lake City-Murray, UT",41
13820,"Birmingham, AL",42
43900,"Spartanburg, SC",43
30780,"Little Rock-North Little Rock-Conway, AR",44
28020,"Kalamazoo-Portage, MI",45
17900,"Columbia, SC",46
10420,"Akron, OH",47
17140,"Cincinnati, OH-KY-IN",48
46520,"Urban Honolulu, HI",49
28420,"Kennewick-Richland, WA",50
44100,"Springfield, IL",51
16700,"Charleston-North Charleston, SC",52
49180,"Winston-Salem, NC",53
11460,"Ann Arbor, MI",54
45780,"Toledo, OH",55
18880,"Crestview-Fort Walton Beach-Destin, FL",56
45300,"Tampa-St. Petersburg-Clearwater, FL",57
26900,"Indianapolis-Carmel-Greenwood, IN",58
15540,"Burlington-South Burlington, VT",59
37340,"Palm Bay-Melbourne-Titusville, FL",60
14460,"Boston-Cambridge-Newton, MA-NH",61
12260,"Augusta-Richmond County, GA-SC",62
24580,"Green Bay, WI",63
31700,"Manchester-Nashua, NH",64
24660,"Greensboro-High Point, NC",65
38060,"Phoenix-Mesa-Chandler, AZ",66
37100,"Oxnard-Thousand Oaks-Ventura, CA",67
27260,"Jacksonville, FL",68
39300,"Providence-Warwick, RI-MA",69
12580,"Baltimore-Columbia-Towson, MD",70
12940,"Baton Rouge, LA",71
17820,"Colorado Springs, CO",72
25420,"Harrisburg-Carlisle, PA",73
49340,"Worcester, MA",74
35380,"New Orleans-Metairie, LA",75
16620,"Charleston, WV",76
27100,"Jackson, MI",77
41420,"Salem, OR",78
14860,"Bridgeport-Stamford-Danbury, CT",79
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",80
21140,"Elkhart-Goshen, IN",81
25860,"Hickory-Lenoir-Morganton, NC",82
10900,"Allentown-Bethlehem-Easton, PA-NJ",83
19430,"Dayton-Kettering-Beavercreek, OH",84
46220,"Tuscaloosa, AL",85
16300,"Cedar Rapids, IA",86
14020,"Bloomington, IN",87
11540,"Appleton, WI",88
39540,"Racine-Mount Pleasant, WI",89
30500,"Lexington Park, MD",90
27620,"Jefferson City, MO",91
43100,"Sheboygan, WI",92
15380,"Buffalo-Cheektowaga, NY",93
36260,"Ogden, UT",94
44060,"Spokane-Spokane Valley, WA",95
46140,"Tulsa, OK",96
13460,"Bend, OR",97
40380,"Rochester, NY",98
36740,"Orlando-Kissimmee-Sanford, FL",99
48620,"Wichita, KS",100
29200,"Lafayette-West Lafayette, IN",101
12540,"Bakersfield-Delano, CA",102
48900,"Wilmington, NC",103
35840,"North Port-Bradenton-Sarasota, FL",104
41180,"St. Louis, MO-IL",105
23060,"Fort Wayne, IN",106
19460,"Decatur, AL",107
41700,"San Antonio-New Braunfels, TX",108
37860,"Pensacola-Ferry Pass-Brent, FL",109
23540,"Gainesville, FL",110
47580,"Warner Robins, GA",111
24540,"Greeley, CO",112
11700,"Asheville, NC",113
38300,"Pittsburgh, PA",114
46060,"Tucson, AZ",115
33860,"Montgomery, AL",116
18020,"Columbus, IN",117
25740,"Helena, MT",118
21500,"Erie, PA",119
36420,"Oklahoma City, OK",120
11260,"Anchorage, AK",121
22020,"Fargo, ND-MN",122
41980,"San Juan-Bayamon-Caguas, PR",123
38860,"Portland-South Portland, ME",124
30460,"Lexington-Fayette, KY",125
42200,"Santa Maria-Santa Barbara, CA",126
10380,"Aguadilla, PR",127
37460,"Panama City-Panama City Beach, FL",128
40220,"Roanoke, VA",129
13140,"Beaumont-Port Arthur, TX",130
40420,"Rockford, IL",131
16820,"Charlottesville, VA",132
45060,"Syracuse, NY",133
44180,"Springfield, MO",134
32820,"Memphis, TN-MS-AR",135
39900,"Reno, NV",136
17860,"Columbia, MO",137
35980,"Norwich-New London-Willimantic, CT",138
42220,"Santa Rosa-Petaluma, CA",139
20260,"Duluth, MN-WI",140
26980,"Iowa City, IA",141
22180,"Fayetteville, NC",142
16580,"Champaign-Urbana, IL",143
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",144
21660,"Eugene-Springfield, OR",145
33260,"Midland, TX",146
36780,"Oshkosh-Neenah, WI",147
35300,"New Haven, CT",148
30860,"Logan, UT-ID",149
49020,"Winchester, VA-WV",150
48140,"Wausau, WI",151
