cbsa,msa,position
15980,"Cape Coral-Fort Myers, FL",152
17980,"Columbus, GA-AL",153
40980,"Saginaw, MI",154
47930,"Waterbury-Shelton, CT",155
31340,"Lynchburg, VA",156
42140,"Santa Fe, NM",157
12980,"Battle Creek, MI",158
15940,"Canton-Massillon, OH",159
43420,"Sierra Vista-Douglas, AZ",160
42100,"Santa Cruz-Watsonville, CA",161
13780,"Binghamton, NY",162
11180,"Ames, IA",163
22540,"Fond du Lac, WI",164
42340,"Savannah, GA",165
13900,"Bismarck, ND",166
28450,"Kenosha, WI",167
25180,"Hagerstown-Martinsburg, MD-WV",168
44140,"Springfield, MA",169
29540,"Lancaster, PA",170
29100,"La Crosse-Onalaska, WI-MN",171
23420,"Fresno, CA",172
29460,"Lakeland-Winter Haven, FL",173
30620,"Lima, OH",174
33660,"Mobile, AL",175
26820,"Idaho Falls, ID",176
27140,"Jackson, MS",177
16940,"Cheyenne, WY",178
14740,"Bremerton-Silverdale-Port Orchard, WA",179
39740,"Reading, PA",180
20740,"Eau Claire, WI",181
20220,"Dubuque, IA",182
35660,"Niles, MI",183
21340,"El Paso, TX",184
29740,"Las Cruces, NM",185
40580,"Rocky Mount, NC",186
31860,"Mankato, MN",187
40140,"Riverside-San Bernardino-Ontario, CA",188
29940,"Lawrence, KS",189
46540,"Utica-Rome, NY",190
31140,"Louisville/Jefferson County, KY-IN",191
33220,"Midland, MI",192
41140,"St. Joseph, MO-KS",193
13380,"Bellingham, WA",194
24780,"Greenville, NC",195
21780,"Evansville, IN",196
28700,"Kingsport-Bristol, TN-VA",197
13740,"Billings, MT",198
37620,"Parkersburg-Vienna, WV",199
13980,"Blacksburg-Christiansburg-Radford, VA",200
19140,"Dalton, GA",201
18700,"Corvallis, OR",202
22500,"Florence, SC",203
49660,"Youngstown-Warren, OH",204
14540,"Bowling Green, KY",205
49620,"York-Hanover, PA",206
21060,"Elizabethtown, KY",207
31900,"Mansfield, OH",208
28660,"Killeen-Temple, TX",209
34060,"Morgantown, WV",210
17780,"College Station-Bryan, TX",211
33780,"Monroe, MI",212
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",213
34740,"Muskegon-Norton Shores, MI",214
29020,"Kokomo, IN",215
42540,"Scranton--Wilkes-Barre, PA",216
22420,"Flint, MI",217
31180,"Lubbock, TX",218
42020,"San Luis Obispo-Paso Robles, CA",219
12100,"Atlantic City-Hammonton, NJ",220
34940,"Naples-Marco Island, FL",221
31420,"Macon-Bibb County, GA",222
25060,"Gulfport-Biloxi, MS",223
27060,"Ithaca, NY",224
30980,"Longview, TX",225
41060,"St. Cloud, MN",226
14580,"Bozeman, MT",227
18580,"Corpus Christi, TX",228
23580,"Gainesville, GA",229
47940,"Waterloo-Cedar Falls, IA",230
19660,"Deltona-Daytona Beach-Ormond Beach, FL",231
32580,"McAllen-Edinburg-Mission, TX",232
44700,"Stockton-Lodi, CA",233
29180,"Lafayette, LA",234
41780,"Sandusky, OH",235
19500,"Decatur, IL",236
47380,"Waco, TX",237
15180,"Brownsville-Harlingen, TX",238
13020,"Bay City, MI",239
38660,"Ponce, PR",240
39660,"Rapid City, SD",241
12220,"Auburn-Opelika, AL",242
26580,"Huntington-Ashland, WV-KY-OH",243
27500,"Janesville-Beloit, WI",244
33540,"Missoula, MT",245
38940,"Port St. Lucie, FL",246
17300,"Clarksville, TN-KY",247
43580,"Sioux City, IA-NE-SD",248
44220,"Springfield, OH",249
20100,"Dover, DE",250
32780,"Medford, OR",251
27740,"Johnson City, TN",252
15500,"Burlington, NC",253
34580,"Mount Vernon-Anacortes, WA",254
21300,"Elmira, NY",255
27180,"Jackson, TN",256
38240,"Pinehurst-Southern Pines, NC",257
46340,"Tyler, TX",258
27900,"Joplin, MO-KS",259
36100,"Ocala, FL",260
41100,"St. George, UT",261
22900,"Fort Smith, AR-OK",262
43640,"Slidell-Mandeville-Covington, LA",263
17420,"Cleveland, TN",264
33700,"Modesto, CA",265
41660,"San Angelo, TX",266
20020,"Dothan, AL",267
31740,"Manhattan, KS",268
46700,"Vallejo, CA",269
43780,"South Bend-Mishawaka, IN-MI",270
45900,"Traverse City, MI",271
41500,"Salinas, CA",272
22380,"Flagstaff, AZ",273
39460,"Punta Gorda, FL",274
41540,"Salisbury, MD",275
12620,"Bangor, ME",276
17020,"Chico, CA",277
43300,"Sherman-Denison, TX",278
33140,"Michigan City-La Porte, IN",279
34100,"Morristown, TN",280
47300,"Visalia, CA",281
44300,"State College, PA",282
24300,"Grand Junction, CO",283
25620,"Hattiesburg, MS",284
34620,"Muncie, IN",285
43340,"Shreveport-Bossier City, LA",286
30340,"Lewiston-Auburn, ME",287
11200,"Amherst Town-Northampton, MA",288
45460,"Terre Haute, IN",289
19300,"Daphne-Fairhope-Foley, AL",290
16540,"Chambersburg, PA",291
48300,"Wenatchee-East Wenatchee, WA",292
22520,"Florence-Muscle Shoals, AL",293
10540,"Albany, OR",294
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",295
17660,"Coeur d'Alene, ID",296
48700,"Williamsport, PA",297
11100,"Amarillo, TX",298
44420,"Staunton-Stuarts Draft, VA",299
27340,"Jacksonville, NC",300
11020,"Altoona, PA",301
10500,"Albany, GA",302
11500,"Anniston-Oxford, AL",303
40660,"Rome, GA",304
12020,"Athens-Clarke County, GA",305
31020,"Longview-Kelso, WA",306
30300,"Lewiston, ID-WA",307
29340,"Lake Charles, LA",308
25500,"Harrisonburg, VA",309
11640,"Arecibo, PR",310
25980,"Hinesville, GA",311
36220,"Odessa, TX",312
28740,"Kingston, NY",313
24020,"Glens Falls, NY",314
12700,"Barnstable Town, MA",315
44940,"Sumter, SC",316
39820,"Redding, CA",317
25940,"Hilton Head Island-Bluffton-Port Royal, SC",318
37140,"Paducah, KY-IL",319
48260,"Weirton-Steubenville, WV-OH",320
16020,"Cape Girardeau, MO-IL",321
38340,"Pittsfield, MA",322
33740,"Monroe, LA",323
10180,"Abilene, TX",324
48680,"Wildwood-The Villages, FL",325
39150,"Prescott Valley-Prescott, AZ",326
47020,"Victoria, TX",327
29700,"Laredo, TX",328
21820,"Fairbanks-College, AK",329
16220,"Casper, WY",330
34900,"Napa, CA",331
38540,"Pocatello, ID",332
49420,"Yakima, WA",333
49740,"Yuma, AZ",334
16180,"Carson City, NV",335
30140,"Lebanon, PA",336
26380,"Houma-Bayou Cane-Thibodaux, LA",337
42680,"Sebastian-Vero Beach-West Vero Corridor, FL",338
25220,"Hammond, LA",339
28100,"Kankakee, IL",340
23460,"Gadsden, AL",341
39380,"Pueblo, CO",342
24220,"Grand Forks, ND-MN",343
27860,"Jonesboro, AR",344
23900,"Gettysburg, PA",345
36980,"Owensboro, KY",346
48540,"Wheeling, WV-OH",347
32900,"Merced, CA",348
13220,"Beckley, WV",349
26300,"Hot Springs, AR",350
46300,"Twin Falls, ID",351
30020,"Lawton, OK",352
48060,"Watertown-Fort Drum, NY",353
27980,"Kahului-Wailuku, HI",354
29420,"Lake Havasu City-Kingman, AZ",355
47220,"Vineland, NJ",356
24260,"Grand Island, NE",357
47460,"Walla Walla, WA",358
24420,"Grants Pass, OR",359
10780,"Alexandria, LA",360
24140,"Goldsboro, NC",361
26140,"Homosassa Springs, FL",362
48660,"Wichita Falls, TX",363
42700,"Sebring, FL",364
22140,"Farmington, NM",365
20940,"El Centro, CA",366
27780,"Johnstown, PA",367
45500,"Texarkana, TX-AR",367
49700,"Yuba City, CA",367
46660,"Valdosta, GA",367
24500,"Great Falls, MT",367
15260,"Brunswick-St. Simons, GA",367
25260,"Hanford-Corcoran, CA",367
33500,"Minot, ND",367
21420,"Enid, OK",367
32420,"Mayaguez, PR",367
